reading_id,loco_id,timestamp,sensor_type,value,unit,quality_flag
SR060,L018,2024-03-01 02:00:00,engine_hours,21034,ч,1
SR061,L001,2024-03-01 15:00:00,speed_kmh,0,км/ч,1
SR062,L001,2024-03-01 15:00:00,buxa_temp_c,28,°C,1
SR063,L001,2024-03-01 15:00:00,traction_current_a,0,А,1
SR064,L001,2024-03-01 15:00:00,catenary_voltage_v,3000,В,1
SR065,L004,2024-03-01 10:00:00,speed_kmh,75,км/ч,1
SR066,L004,2024-03-01 10:00:00,buxa_temp_c,82,°C,0
SR067,L004,2024-03-01 10:00:00,traction_current_a,350,А,1
SR068,L004,2024-03-01 10:00:00,catenary_voltage_v,2870,В,1
SR069,L006,2024-03-01 06:00:00,speed_kmh,68,км/ч,1
SR070,L006,2024-03-01 06:00:00,buxa_temp_c,45,°C,1
SR071,L006,2024-03-01 06:00:00,traction_current_a,310,А,1
SR072,L006,2024-03-01 06:00:00,catenary_voltage_v,2820,В,1
SR073,L008,2024-03-01 07:30:00,speed_kmh,105,км/ч,1
SR074,L008,2024-03-01 07:30:00,buxa_temp_c,54,°C,1
SR075,L008,2024-03-01 07:30:00,traction_current_a,480,А,1
SR076,L008,2024-03-01 07:30:00,catenary_voltage_v,3010,В,1
SR077,L016,2024-03-01 11:00:00,speed_kmh,0,км/ч,1
SR078,L016,2024-03-01 11:00:00,buxa_temp_c,33,°C,1
SR079,L016,2024-03-01 11:00:00,fuel_consumption_lh,0,л/ч,1
SR080,L016,2024-03-01 11:00:00,engine_hours,14880,ч,1
SR081,L020,2024-03-01 05:00:00,speed_kmh,84,км/ч,1
SR082,L020,2024-03-01 05:00:00,buxa_temp_c,49,°C,1
SR083,L020,2024-03-01 05:00:00,fuel_consumption_lh,155,л/ч,1
SR084,L020,2024-03-01 05:00:00,engine_hours,9841,ч,1
SR085,L024,2024-03-01 06:30:00,speed_kmh,120,км/ч,1
SR086,L024,2024-03-01 06:30:00,buxa_temp_c,43,°C,1
SR087,L024,2024-03-01 06:30:00,traction_current_a,540,А,1
SR088,L024,2024-03-01 06:30:00,catenary_voltage_v,3450,В,1
SR089,L025,2024-03-01 07:00:00,speed_kmh,115,км/ч,1
SR090,L025,2024-03-01 07:00:00,buxa_temp_c,40,°C,1
SR091,L025,2024-03-01 07:00:00,traction_current_a,510,А,1
SR092,L025,2024-03-01 07:00:00,catenary_voltage_v,3380,В,1
SR093,L001,2024-03-02 00:00:00,speed_kmh,88,км/ч,1
SR094,L001,2024-03-02 00:00:00,buxa_temp_c,50,°C,1
SR095,L001,2024-03-02 00:00:00,traction_current_a,415,А,1
SR096,L001,2024-03-02 00:00:00,catenary_voltage_v,2900,В,1
SR097,L002,2024-03-02 02:00:00,speed_kmh,97,км/ч,1
SR098,L002,2024-03-02 02:00:00,buxa_temp_c,59,°C,1
SR099,L002,2024-03-02 02:00:00,traction_current_a,520,А,1
SR100,L002,2024-03-02 02:00:00,catenary_voltage_v,2760,В,1
SR101,L004,2024-03-02 04:00:00,speed_kmh,70,км/ч,1
SR102,L004,2024-03-02 04:00:00,buxa_temp_c,41,°C,1
SR103,L004,2024-03-02 04:00:00,traction_current_a,330,А,1
SR104,L004,2024-03-02 04:00:00,catenary_voltage_v,3080,В,1
SR105,L009,2024-03-02 01:00:00,speed_kmh,158,км/ч,1
SR106,L009,2024-03-02 01:00:00,buxa_temp_c,67,°C,1
SR107,L009,2024-03-02 01:00:00,traction_current_a,750,А,1
SR108,L009,2024-03-02 01:00:00,catenary_voltage_v,3900,В,1
SR109,L016,2024-03-02 03:00:00,speed_kmh,91,км/ч,1
SR110,L016,2024-03-02 03:00:00,buxa_temp_c,53,°C,1
SR111,L016,2024-03-02 03:00:00,fuel_consumption_lh,142,л/ч,1
SR112,L016,2024-03-02 03:00:00,engine_hours,14889,ч,1
SR113,L021,2024-03-02 09:00:00,speed_kmh,18,км/ч,1
SR114,L021,2024-03-02 09:00:00,buxa_temp_c,31,°C,1
SR115,L021,2024-03-02 09:00:00,fuel_consumption_lh,38,л/ч,1
SR116,L021,2024-03-02 09:00:00,engine_hours,28458,ч,1
SR117,L006,2024-03-02 08:00:00,speed_kmh,79,км/ч,1
SR118,L006,2024-03-02 08:00:00,buxa_temp_c,47,°C,1
SR119,L006,2024-03-02 08:00:00,traction_current_a,365,А,1
SR120,L006,2024-03-02 08:00:00,catenary_voltage_v,2840,В,1
SR121,L008,2024-03-02 10:00:00,speed_kmh,88,км/ч,0
SR122,L008,2024-03-02 10:00:00,buxa_temp_c,85,°C,1
SR123,L008,2024-03-02 10:00:00,traction_current_a,400,А,1
SR124,L008,2024-03-02 10:00:00,catenary_voltage_v,2980,В,1
SR125,L010,2024-03-02 05:00:00,speed_kmh,148,км/ч,1
SR126,L010,2024-03-02 05:00:00,buxa_temp_c,60,°C,1
SR127,L010,2024-03-02 05:00:00,traction_current_a,690,А,1
SR128,L010,2024-03-02 05:00:00,catenary_voltage_v,3800,В,1
SR129,L013,2024-03-02 04:30:00,speed_kmh,0,км/ч,1
SR130,L013,2024-03-02 04:30:00,buxa_temp_c,27,°C,1
SR131,L013,2024-03-02 04:30:00,traction_current_a,0,А,1
SR132,L013,2024-03-02 04:30:00,catenary_voltage_v,3100,В,1
SR133,L018,2024-03-02 06:00:00,speed_kmh,95,км/ч,1
SR134,L018,2024-03-02 06:00:00,buxa_temp_c,50,°C,1
SR135,L018,2024-03-02 06:00:00,fuel_consumption_lh,145,л/ч,1
SR136,L018,2024-03-02 06:00:00,engine_hours,21043,ч,1
SR137,L020,2024-03-02 07:00:00,speed_kmh,76,км/ч,1
SR138,L020,2024-03-02 07:00:00,buxa_temp_c,44,°C,1
SR139,L020,2024-03-02 07:00:00,fuel_consumption_lh,130,л/ч,1
SR140,L020,2024-03-02 07:00:00,engine_hours,9849,ч,1
SR141,L024,2024-03-02 08:30:00,speed_kmh,130,км/ч,1
SR142,L024,2024-03-02 08:30:00,buxa_temp_c,46,°C,1
SR143,L024,2024-03-02 08:30:00,traction_current_a,570,А,1
SR144,L024,2024-03-02 08:30:00,catenary_voltage_v,3500,В,1
SR145,L001,2024-03-03 01:00:00,speed_kmh,65,км/ч,1
SR146,L001,2024-03-03 01:00:00,buxa_temp_c,39,°C,1
SR147,L001,2024-03-03 01:00:00,traction_current_a,300,А,1
SR148,L001,2024-03-03 01:00:00,catenary_voltage_v,3020,В,1
SR149,L004,2024-03-03 03:00:00,speed_kmh,91,км/ч,0
SR150,L004,2024-03-03 03:00:00,buxa_temp_c,87,°C,1
SR151,L004,2024-03-03 03:00:00,traction_current_a,440,А,1
SR152,L004,2024-03-03 03:00:00,catenary_voltage_v,2810,В,1
SR153,L002,2024-03-03 05:00:00,speed_kmh,82,км/ч,1
SR154,L002,2024-03-03 05:00:00,buxa_temp_c,53,°C,1
SR155,L002,2024-03-03 05:00:00,traction_current_a,395,А,1
SR156,L002,2024-03-03 05:00:00,catenary_voltage_v,2960,В,1
SR157,L009,2024-03-03 02:00:00,speed_kmh,152,км/ч,1
SR158,L009,2024-03-03 02:00:00,buxa_temp_c,64,°C,1
SR159,L009,2024-03-03 02:00:00,traction_current_a,730,А,1
SR160,L009,2024-03-03 02:00:00,catenary_voltage_v,3820,В,1
SR161,L016,2024-03-03 04:00:00,speed_kmh,86,км/ч,1
SR162,L016,2024-03-03 04:00:00,buxa_temp_c,56,°C,1
SR163,L016,2024-03-03 04:00:00,fuel_consumption_lh,152,л/ч,1
SR164,L016,2024-03-03 04:00:00,engine_hours,14897,ч,1
SR165,L006,2024-03-03 09:00:00,speed_kmh,73,км/ч,1
SR166,L006,2024-03-03 09:00:00,buxa_temp_c,42,°C,1
SR167,L006,2024-03-03 09:00:00,traction_current_a,340,А,1
SR168,L006,2024-03-03 09:00:00,catenary_voltage_v,2890,В,1
SR169,L020,2024-03-03 06:00:00,speed_kmh,0,км/ч,1
SR170,L020,2024-03-03 06:00:00,buxa_temp_c,29,°C,1
SR171,L020,2024-03-03 06:00:00,fuel_consumption_lh,0,л/ч,1
SR172,L020,2024-03-03 06:00:00,engine_hours,9857,ч,1
SR173,L013,2024-03-03 07:00:00,speed_kmh,138,км/ч,1
SR174,L013,2024-03-03 07:00:00,buxa_temp_c,58,°C,1
SR175,L013,2024-03-03 07:00:00,traction_current_a,610,А,1
SR176,L013,2024-03-03 07:00:00,catenary_voltage_v,3640,В,1
SR177,L025,2024-03-03 08:00:00,speed_kmh,125,км/ч,1
SR178,L025,2024-03-03 08:00:00,buxa_temp_c,44,°C,1
SR179,L025,2024-03-03 08:00:00,traction_current_a,530,А,1
SR180,L025,2024-03-03 08:00:00,catenary_voltage_v,3420,В,1
SR181,L001,2024-03-04 00:00:00,speed_kmh,95,км/ч,1
SR182,L001,2024-03-04 00:00:00,buxa_temp_c,55,°C,1
SR183,L001,2024-03-04 00:00:00,traction_current_a,450,А,1
SR184,L001,2024-03-04 00:00:00,catenary_voltage_v,2930,В,1
SR185,L008,2024-03-04 02:00:00,speed_kmh,78,км/ч,1
SR186,L008,2024-03-04 02:00:00,buxa_temp_c,46,°C,1
SR187,L008,2024-03-04 02:00:00,traction_current_a,360,А,1
SR188,L008,2024-03-04 02:00:00,catenary_voltage_v,3060,В,1
SR189,L010,2024-03-04 03:00:00,speed_kmh,0,км/ч,1
SR190,L010,2024-03-04 03:00:00,buxa_temp_c,24,°C,1
SR191,L010,2024-03-04 03:00:00,traction_current_a,0,А,0
SR192,L010,2024-03-04 03:00:00,catenary_voltage_v,3250,В,1
SR193,L016,2024-03-04 05:00:00,speed_kmh,80,км/ч,1
SR194,L016,2024-03-04 05:00:00,buxa_temp_c,48,°C,1
SR195,L016,2024-03-04 05:00:00,fuel_consumption_lh,133,л/ч,1
SR196,L016,2024-03-04 05:00:00,engine_hours,14905,ч,1
SR197,L018,2024-03-04 07:00:00,speed_kmh,87,км/ч,1
SR198,L018,2024-03-04 07:00:00,buxa_temp_c,51,°C,1
SR199,L018,2024-03-04 07:00:00,fuel_consumption_lh,140,л/ч,1
SR200,L018,2024-03-04 07:00:00,engine_hours,21052,ч,1
SR201,L021,2024-03-04 10:00:00,speed_kmh,25,км/ч,1
SR202,L021,2024-03-04 10:00:00,buxa_temp_c,33,°C,1
SR203,L021,2024-03-04 10:00:00,fuel_consumption_lh,45,л/ч,1
SR204,L021,2024-03-04 10:00:00,engine_hours,28467,ч,1
SR205,L006,2024-03-04 11:00:00,speed_kmh,0,км/ч,1
SR206,L006,2024-03-04 11:00:00,buxa_temp_c,26,°C,1
SR207,L006,2024-03-04 11:00:00,traction_current_a,0,А,1
SR208,L006,2024-03-04 11:00:00,catenary_voltage_v,3150,В,1
SR209,L009,2024-03-04 04:00:00,speed_kmh,160,км/ч,1
SR210,L009,2024-03-04 04:00:00,buxa_temp_c,71,°C,1
SR211,L009,2024-03-04 04:00:00,traction_current_a,790,А,1
SR212,L009,2024-03-04 04:00:00,catenary_voltage_v,3950,В,1
SR213,L013,2024-03-04 08:00:00,speed_kmh,142,км/ч,1
SR214,L013,2024-03-04 08:00:00,buxa_temp_c,62,°C,1
SR215,L013,2024-03-04 08:00:00,traction_current_a,650,А,1
SR216,L013,2024-03-04 08:00:00,catenary_voltage_v,3700,В,1
SR217,L002,2024-03-05 01:00:00,speed_kmh,90,км/ч,1
SR218,L002,2024-03-05 01:00:00,buxa_temp_c,54,°C,1
SR219,L002,2024-03-05 01:00:00,traction_current_a,430,А,1
SR220,L002,2024-03-05 01:00:00,catenary_voltage_v,2870,В,1
SR221,L004,2024-03-05 03:00:00,speed_kmh,67,км/ч,1
SR222,L004,2024-03-05 03:00:00,buxa_temp_c,40,°C,1
SR223,L004,2024-03-05 03:00:00,traction_current_a,315,А,1
SR224,L004,2024-03-05 03:00:00,catenary_voltage_v,3070,В,1
SR225,L008,2024-03-05 05:00:00,speed_kmh,103,км/ч,1
SR226,L008,2024-03-05 05:00:00,buxa_temp_c,91,°C,0
SR227,L008,2024-03-05 05:00:00,traction_current_a,495,А,1
SR228,L008,2024-03-05 05:00:00,catenary_voltage_v,2990,В,1
SR229,L016,2024-03-05 06:00:00,speed_kmh,93,км/ч,1
SR230,L016,2024-03-05 06:00:00,buxa_temp_c,57,°C,1
SR231,L016,2024-03-05 06:00:00,fuel_consumption_lh,158,л/ч,1
SR232,L016,2024-03-05 06:00:00,engine_hours,14914,ч,1
SR233,L020,2024-03-05 08:00:00,speed_kmh,89,км/ч,1
SR234,L020,2024-03-05 08:00:00,buxa_temp_c,52,°C,1
SR235,L020,2024-03-05 08:00:00,fuel_consumption_lh,162,л/ч,1
SR236,L020,2024-03-05 08:00:00,engine_hours,9866,ч,1
SR237,L024,2024-03-05 09:30:00,speed_kmh,135,км/ч,1
SR238,L024,2024-03-05 09:30:00,buxa_temp_c,48,°C,1
SR239,L024,2024-03-05 09:30:00,traction_current_a,580,А,1
SR240,L024,2024-03-05 09:30:00,catenary_voltage_v,3520,В,1
SR241,L025,2024-03-05 10:00:00,speed_kmh,128,км/ч,1
SR242,L025,2024-03-05 10:00:00,buxa_temp_c,45,°C,1
SR243,L025,2024-03-05 10:00:00,traction_current_a,555,А,1
SR244,L025,2024-03-05 10:00:00,catenary_voltage_v,3460,В,1
SR245,L001,2024-03-06 00:00:00,speed_kmh,83,км/ч,1
SR246,L001,2024-03-06 00:00:00,buxa_temp_c,47,°C,1
SR247,L001,2024-03-06 00:00:00,traction_current_a,395,А,1
SR248,L001,2024-03-06 00:00:00,catenary_voltage_v,2970,В,1
SR249,L009,2024-03-06 02:00:00,speed_kmh,153,км/ч,1
SR250,L009,2024-03-06 02:00:00,buxa_temp_c,65,°C,1
SR251,L009,2024-03-06 02:00:00,traction_current_a,720,А,1
SR252,L009,2024-03-06 02:00:00,catenary_voltage_v,3870,В,1
SR253,L010,2024-03-06 04:00:00,speed_kmh,146,км/ч,1
SR254,L010,2024-03-06 04:00:00,buxa_temp_c,62,°C,1
SR255,L010,2024-03-06 04:00:00,traction_current_a,700,А,1
SR256,L010,2024-03-06 04:00:00,catenary_voltage_v,3780,В,1
SR257,L016,2024-03-06 07:00:00,speed_kmh,0,км/ч,1
SR258,L016,2024-03-06 07:00:00,buxa_temp_c,32,°C,1
SR259,L016,2024-03-06 07:00:00,fuel_consumption_lh,0,л/ч,1
SR260,L016,2024-03-06 07:00:00,engine_hours,14921,ч,1
SR261,L018,2024-03-06 09:00:00,speed_kmh,82,км/ч,1
SR262,L018,2024-03-06 09:00:00,buxa_temp_c,49,°C,1
SR263,L018,2024-03-06 09:00:00,fuel_consumption_lh,136,л/ч,1
SR264,L018,2024-03-06 09:00:00,engine_hours,21060,ч,1
SR265,L006,2024-03-06 10:00:00,speed_kmh,70,км/ч,1
SR266,L006,2024-03-06 10:00:00,buxa_temp_c,43,°C,1
SR267,L006,2024-03-06 10:00:00,traction_current_a,320,А,0
SR268,L006,2024-03-06 10:00:00,catenary_voltage_v,2860,В,1
SR269,L013,2024-03-06 11:00:00,speed_kmh,140,км/ч,1
SR270,L013,2024-03-06 11:00:00,buxa_temp_c,60,°C,1
SR271,L013,2024-03-06 11:00:00,traction_current_a,635,А,1
SR272,L013,2024-03-06 11:00:00,catenary_voltage_v,3680,В,1
SR273,L021,2024-03-06 13:00:00,speed_kmh,20,км/ч,1
SR274,L021,2024-03-06 13:00:00,buxa_temp_c,29,°C,1
SR275,L021,2024-03-06 13:00:00,fuel_consumption_lh,40,л/ч,1
SR276,L021,2024-03-06 13:00:00,engine_hours,28474,ч,1
SR277,L002,2024-03-07 00:00:00,speed_kmh,78,км/ч,1
SR278,L002,2024-03-07 00:00:00,buxa_temp_c,45,°C,1
SR279,L002,2024-03-07 00:00:00,traction_current_a,370,А,1
SR280,L002,2024-03-07 00:00:00,catenary_voltage_v,2910,В,1
SR281,L004,2024-03-07 02:00:00,speed_kmh,84,км/ч,1
SR282,L004,2024-03-07 02:00:00,buxa_temp_c,50,°C,1
SR283,L004,2024-03-07 02:00:00,traction_current_a,400,А,1
SR284,L004,2024-03-07 02:00:00,catenary_voltage_v,3030,В,1
SR285,L008,2024-03-07 04:00:00,speed_kmh,0,км/ч,1
SR286,L008,2024-03-07 04:00:00,buxa_temp_c,23,°C,1
SR287,L008,2024-03-07 04:00:00,traction_current_a,0,А,1
SR288,L008,2024-03-07 04:00:00,catenary_voltage_v,3180,В,1
SR289,L020,2024-03-07 06:00:00,speed_kmh,95,км/ч,1
SR290,L020,2024-03-07 06:00:00,buxa_temp_c,55,°C,1
SR291,L020,2024-03-07 06:00:00,fuel_consumption_lh,167,л/ч,1
SR292,L020,2024-03-07 06:00:00,engine_hours,9874,ч,1
SR293,L024,2024-03-07 07:30:00,speed_kmh,125,км/ч,1
SR294,L024,2024-03-07 07:30:00,buxa_temp_c,44,°C,1
SR295,L024,2024-03-07 07:30:00,traction_current_a,545,А,1
SR296,L024,2024-03-07 07:30:00,catenary_voltage_v,3480,В,1
SR297,L025,2024-03-07 08:00:00,speed_kmh,118,км/ч,1
SR298,L025,2024-03-07 08:00:00,buxa_temp_c,42,°C,1
SR299,L025,2024-03-07 08:00:00,traction_current_a,515,А,0
SR300,L025,2024-03-07 08:00:00,catenary_voltage_v,3400,В,1
