sample_id,timestamp,mine_section,equipment_id,iron_content_pct,moisture_pct,sulfur_pct,particle_size_mm,quality_grade,shift_number
OQ0117,2024-01-17 19:44:34,Блок-1,EQ001,61.2,5.9,0.151,97.3,Б,2
OQ0068,2024-01-17 23:33:33,Блок-2,EQ010,60.11,5.74,0.378,67.7,Б,2
OQ0016,2024-01-18 00:07:22,Блок-1,EQ009,65.21,7.74,0.399,16.7,А,3
OQ0112,2024-01-18 00:22:02,Блок-1,EQ009,59.67,7.8,0.228,143.3,В,3
OQ0105,2024-01-18 02:29:25,Блок-1,EQ007,60.97,8.38,0.318,22.4,Б,3
OQ0109,2024-01-18 03:15:07,Блок-3,EQ005,61.66,7.89,0.216,81.0,Б,3
OQ0030,2024-01-18 04:03:19,Блок-3,EQ013,56.34,7.57,0.117,116.9,В,3
OQ0086,2024-01-18 05:20:57,Блок-3,EQ005,60.17,10.11,0.132,112.3,Б,3
OQ0064,2024-01-18 06:01:11,Блок-2,EQ004,57.91,5.3,0.334,141.0,В,3
OQ0020,2024-01-18 10:07:05,Блок-1,EQ001,65.48,6.02,0.264,93.4,А,1
OQ0100,2024-01-18 11:11:37,Блок-2,EQ004,58.1,6.75,0.156,79.1,В,1
OQ0098,2024-01-18 12:25:11,Блок-1,EQ007,57.72,7.61,0.207,149.8,В,1
OQ0066,2024-01-18 12:27:25,Блок-2,EQ010,60.52,8.5,0.121,55.3,Б,1
OQ0043,2024-01-18 13:19:57,Блок-3,EQ013,58.7,6.82,0.218,24.0,В,1
OQ0058,2024-01-18 14:03:26,Блок-3,EQ013,58.89,11.73,0.095,138.2,В,1
OQ0078,2024-01-18 16:37:03,Блок-3,EQ005,59.58,5.59,0.433,128.7,В,2
OQ0089,2024-01-18 16:40:04,Блок-2,EQ004,60.88,6.88,0.319,105.4,Б,2
OQ0014,2024-01-18 18:10:46,Блок-2,EQ010,55.0,6.99,0.204,102.0,В,2
OQ0012,2024-01-18 19:23:08,Блок-2,EQ008,60.91,9.87,0.288,89.1,Б,2
OQ0120,2024-01-18 20:08:44,Блок-3,EQ005,61.84,8.33,0.144,40.8,Б,2
OQ0021,2024-01-18 20:48:08,Блок-2,EQ004,58.9,9.32,0.32,12.8,В,2
OQ0075,2024-01-18 22:14:09,Блок-3,EQ005,63.55,6.53,0.123,53.6,Б,2
OQ0001,2024-01-18 22:19:23,Блок-2,EQ004,59.38,10.75,0.088,89.5,В,2
OQ0038,2024-01-19 00:51:09,Блок-1,EQ002,58.42,10.61,0.439,62.4,В,3
OQ0070,2024-01-19 03:49:11,Блок-3,EQ005,56.35,10.83,0.333,97.2,В,3
OQ0034,2024-01-19 04:16:44,Блок-2,EQ010,60.48,10.66,0.339,55.7,Б,3
OQ0044,2024-01-19 07:02:49,Блок-2,EQ010,63.32,9.64,0.376,79.9,Б,3
OQ0111,2024-01-19 08:53:59,Блок-2,EQ004,58.81,10.53,0.389,18.4,В,1
OQ0008,2024-01-19 09:19:06,Блок-1,EQ007,62.57,6.74,0.122,118.1,Б,1
OQ0026,2024-01-19 10:04:13,Блок-2,EQ010,57.55,5.86,0.39,149.0,В,1
OQ0035,2024-01-19 10:12:28,Блок-1,EQ002,62.83,6.38,0.132,95.5,Б,1
OQ0110,2024-01-19 13:46:12,Блок-1,EQ007,59.79,7.37,0.075,45.2,В,1
OQ0119,2024-01-19 17:02:13,Блок-1,EQ007,63.06,5.07,0.171,71.8,Б,2
OQ0023,2024-01-19 20:38:14,Блок-1,EQ001,65.13,8.08,0.094,92.1,А,2
OQ0039,2024-01-19 20:54:44,Блок-1,EQ002,62.26,5.89,0.11,136.2,Б,2
OQ0071,2024-01-19 21:52:36,Блок-2,EQ008,64.73,5.1,0.3,132.6,Б,2
OQ0103,2024-01-19 23:40:45,Блок-2,EQ010,58.98,11.09,0.244,137.2,В,2
OQ0018,2024-01-20 00:57:49,Блок-2,EQ008,58.42,9.78,0.202,38.5,В,3
OQ0060,2024-01-20 02:59:25,Блок-1,EQ007,63.5,7.84,0.265,79.6,Б,3
OQ0081,2024-01-20 05:01:35,Блок-3,EQ013,60.45,8.53,0.384,121.7,Б,3
OQ0072,2024-01-20 05:27:44,Блок-2,EQ004,59.46,5.39,0.316,60.2,В,3
OQ0056,2024-01-20 05:41:23,Блок-3,EQ013,60.22,7.83,0.219,56.7,Б,3
OQ0042,2024-01-20 06:21:22,Блок-3,EQ005,59.09,10.78,0.134,41.5,В,3
OQ0053,2024-01-20 08:46:34,Блок-2,EQ008,61.67,5.51,0.318,118.7,Б,1
OQ0017,2024-01-20 10:50:07,Блок-1,EQ009,57.57,10.73,0.396,45.4,В,1
OQ0013,2024-01-20 12:52:45,Блок-1,EQ002,65.72,8.32,0.316,13.8,А,1
OQ0116,2024-01-20 13:12:20,Блок-1,EQ002,63.7,8.86,0.066,118.4,Б,1
OQ0087,2024-01-20 14:05:01,Блок-2,EQ010,60.56,11.37,0.165,11.8,Б,1
OQ0027,2024-01-20 15:43:45,Блок-2,EQ010,58.95,5.72,0.187,43.4,В,1
OQ0115,2024-01-20 16:21:32,Блок-2,EQ010,60.01,6.08,0.259,103.9,Б,2
OQ0051,2024-01-20 19:14:17,Блок-3,EQ013,62.12,11.14,0.427,42.6,Б,2
OQ0095,2024-01-20 21:35:55,Блок-1,EQ009,62.71,8.44,0.23,48.8,Б,2
OQ0011,2024-01-20 22:25:14,Блок-1,EQ009,66.1,10.35,0.279,131.9,А,2
OQ0084,2024-01-20 22:31:02,Блок-1,EQ007,59.76,5.02,0.369,113.5,В,2
OQ0090,2024-01-20 22:36:37,Блок-1,EQ007,62.57,9.96,0.164,72.6,Б,2
OQ0061,2024-01-21 00:03:58,Блок-2,EQ008,60.73,9.82,0.22,15.5,Б,3
OQ0069,2024-01-21 00:10:46,Блок-3,EQ013,59.77,8.55,0.325,147.5,В,3
OQ0045,2024-01-21 02:06:57,Блок-2,EQ004,57.02,5.13,0.226,31.6,В,3
OQ0085,2024-01-21 02:30:03,Блок-3,EQ013,61.06,10.22,0.24,122.3,Б,3
OQ0050,2024-01-21 03:15:10,Блок-3,EQ013,56.9,6.4,0.161,78.7,В,3
OQ0073,2024-01-21 03:21:59,Блок-1,EQ007,59.38,5.32,0.124,44.0,В,3
OQ0092,2024-01-21 03:33:48,Блок-2,EQ010,66.56,11.96,0.205,137.9,А,3
OQ0002,2024-01-21 03:48:04,Блок-3,EQ005,58.98,5.26,0.223,15.1,В,3
OQ0049,2024-01-21 03:52:56,Блок-2,EQ010,56.09,11.39,0.227,93.8,В,3
OQ0094,2024-01-21 04:10:57,Блок-1,EQ007,61.82,11.21,0.331,38.6,Б,3
OQ0033,2024-01-21 06:46:23,Блок-2,EQ010,59.63,5.2,0.162,42.6,В,3
OQ0031,2024-01-21 11:07:43,Блок-3,EQ013,58.91,6.56,0.375,147.8,В,1
OQ0104,2024-01-21 16:13:50,Блок-2,EQ004,59.1,6.2,0.216,45.9,В,2
OQ0102,2024-01-21 17:24:31,Блок-3,EQ013,55.92,6.42,0.082,140.4,В,2
OQ0047,2024-01-21 18:05:06,Блок-1,EQ001,61.11,8.89,0.364,20.4,Б,2
OQ0022,2024-01-21 18:53:58,Блок-1,EQ009,59.7,7.79,0.208,74.8,В,2
OQ0052,2024-01-21 18:58:12,Блок-3,EQ005,57.11,10.88,0.105,22.6,В,2
OQ0048,2024-01-21 19:11:53,Блок-1,EQ001,65.18,6.74,0.161,117.0,А,2
